製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
ボラギノールA注入軟膏,天藤製薬,指定第2類,外用薬(皮膚),いぼ痔・きれ痔(さけ痔)の痛み・出血・はれ・かゆみの緩和,"●ノズル部分を肛門内に挿入し,全量をゆっくり注入すること。(肛門内に注入する場合)  [年齢:1回量:1日使用回数] 成人(15歳以上):1個:1〜2回 15歳未満:使用しないこと   または ●次の量を患部に塗布すること。なお,一度塗布に使用したものは,注入には使用しないこと。(患部に塗布する場合)  [年齢:1回量:1日使用回数] 成人(15歳以上):適量:1〜3回 15歳未満:使用しないこと",(肛門内に注入する場合)  [年齢:1回量:1日使用回数] 成人(15歳以上):1個:1〜2回 15歳未満:使用しないこと   または ●次の量を患部に塗布すること,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用[口腔粘膜(例えば、頬、歯肉、舌下)投与を含む]又は経直腸使用の場合には、禁止する/他の投与使用(吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む)は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない,,
ボラギノールA軟膏,天藤製薬,指定第2類,外用薬(皮膚),いぼ痔・きれ痔(さけ痔)の痛み・出血・はれ・かゆみの緩和,"次の量を患部に直接塗布するか,またはガーゼなどにのばして患部に貼付すること。  [年齢:1回量:1日使用回数] 成人(15歳以上):適量:1〜3回 15歳未満:使用しないこと",[年齢:1回量:1日使用回数] 成人(15歳以上):適量:1〜3回 15歳未満:使用しないこと,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質なし,,,,
ボラギノールA注入軟膏《パウチ》,天藤製薬,指定第2類,外用薬(皮膚),いぼ痔・きれ痔(さけ痔)の痛み・出血・はれ・かゆみの緩和,"●ノズル部分を肛門内に挿入し,全量をゆっくり注入すること。(肛門内に注入する場合)  [年齢:1回量:1日使用回数] 成人(15歳以上):1個:1〜2回 15歳未満:使用しないこと   または ●次の量を患部に塗布すること。なお,一度塗布に使用したものは,注入には使用しないこと。(患部に塗布する場合)  [年齢:1回量:1日使用回数] 成人(15歳以上):適量:1〜3回 15歳未満:使用しないこと",(肛門内に注入する場合)  [年齢:1回量:1日使用回数] 成人(15歳以上):1個:1〜2回 15歳未満:使用しないこと   または ●次の量を患部に塗布すること,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用[口腔粘膜(例えば、頬、歯肉、舌下)投与を含む]又は経直腸使用の場合には、禁止する/他の投与使用(吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む)は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない,,
オシリア,小林製薬,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血の緩和及び消毒,適量をとり、肛門部に塗布する。なお、1日3回まで使用できる,,"イソプロピルメチルフェノール
ジフェンヒドラミン塩酸塩
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン",禁止物質なし,,,,
ジーフォーL注入軟膏,万協製薬,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血の緩和,"〈肛門内に注入する場合〉 ノズル部分を肛門内に挿入し,全量をゆっくり注入してください。  [年齢:1回使用量:1日使用回数] 成人(15才以上):1個:1〜2回 15才未満:使用しないでください  〈肛門部に塗布する場合〉 次の量を肛門部に塗布してください。なお,一度塗布に使用したものは,注入には使用しないでください。  [年齢:1回使用量:1日使用回数] 成人(15才以上):適量:1〜3回 15才未満:使用しないでください",[年齢:1回使用量:1日使用回数] 成人(15才以上):1個:1〜2回 15才未満:使用しないでください  〈肛門部に塗布する場合〉 次の量を肛門部に塗布してください,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用[口腔粘膜(例えば、頬、歯肉、舌下)投与を含む]又は経直腸使用の場合には、禁止する/他の投与使用(吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む)は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない,,
ジーフォーL,佐藤製薬,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血の緩和,下記の1回使用量を肛門内に挿入します。  [年齢:1回使用量:1日使用回数] 成人(15歳以上):1個:1〜2回 15歳未満:使用しないでください,[年齢:1回使用量:1日使用回数] 成人(15歳以上):1個:1〜2回 15歳未満:使用しないでください,"アラントイン
ジフェンヒドラミン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
塩酸リドカイン",禁止物質あり,S9. 糖質コルチコイド,,,
ジーフォーL軟膏,佐藤製薬,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血の緩和及び消毒,"1日3回,適量を肛門部に塗布します。",,"アラントイン
クロルフェニラミンマレイン酸塩
セチルピリジニウム塩化物水和物
トコフェロール酢酸エステル
ナファゾリン塩酸塩
プレドニゾロン酢酸エステル
リドカイン",禁止物質なし,,,,
新エフレチンK軟膏,三宝製薬,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血・ただれの緩和及び消毒,"適量をとり,肛門部に塗布してください。なお,1日3回まで使用できます。",,"アルミニウム・クロルヒドロキシアラントイネート
クロルヘキシジン塩酸塩
ジブカイン塩酸塩
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
酸化亜鉛
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ドルマインH軟膏,ゼリア新薬工業,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血の緩和及び消毒,"適量をとり,肛門部に塗布してください。 なお,1日3回まで使用できます。",,"アラントイン
イソプロピルメチルフェノール
ヒドロコルチゾン酢酸エステル
ユーカリ油
リドカイン
酸化亜鉛
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
サブス坐剤,全薬工業,指定第2類,外用薬(皮膚),いぼ痔・きれ痔(さけ痔)の痛み・出血・はれ・かゆみの緩和,次の量を肛門内に挿入してください。  [年齢:1回量:1日使用回数] 15才以上:1個:1〜3回 15才未満:使用しないこと,[年齢:1回量:1日使用回数] 15才以上:1個:1〜3回 15才未満:使用しないこと,"アラントイン
クロルフェニラミンマレイン酸塩
クロルヘキシジン塩酸塩
ジブカイン塩酸塩
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン
塩酸テトラヒドロゾリン",禁止物質あり,S9. 糖質コルチコイド,,,
サブス軟膏,全薬工業,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・出血・はれ・かゆみの緩和及び消毒,1日1〜3回、適量を肛門部に塗布してください。,,"アラントイン
クロルフェニラミンマレイン酸塩
クロルヘキシジン塩酸塩
ジブカイン塩酸塩
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン
塩酸テトラヒドロゾリン",禁止物質なし,,,,
ラナンキュラスぢα注入軟膏a,大昭製薬,指定第2類,外用薬(皮膚),[注入時]きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血の緩和 [塗布時]きれ痔(さけ痔)・いぼ痔の痛み・かゆみ・はれ・出血の緩和及び消毒,"適量をとり肛門部に塗布するか,又は15歳以上1回1個を肛門部に挿入し,全量を注入する.1日3回まで使用できる.なお,一度塗布に使用したものは,注入には使用しないこと.",,"アラントイン
イソプロピルメチルフェノール
グリチルレチン酸
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
フェニレフリン塩酸塩
リドカイン塩酸塩
酸化亜鉛",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用[口腔粘膜(例えば、頬、歯肉、舌下)投与を含む]又は経直腸使用の場合には、禁止する/他の投与使用(吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む)は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない,,
プリザS軟膏,大正製薬,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・出血・はれ・かゆみの緩和及び消毒,"適量をとり,1日1〜3回,肛門部に塗布してください。",,"アラントイン
クロルヘキシジン塩酸塩
ジフェンヒドラミン塩酸塩
ジブカイン塩酸塩
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
フェニレフリン塩酸塩
l−メントール",禁止物質なし,,,,
プリザエース軟膏,大正製薬,指定第2類,外用薬(皮膚),きれ痔(さけ痔)・いぼ痔の痛み・出血・はれ・かゆみの緩和及び消毒,"適量をとり,1日1〜3回,肛門部に塗布してください。  ★ご使用前に入浴するか,ぬるま湯で患部を清潔にしてください。また,朝の場合は排便後に,夜の場合は寝る前に使用すると一層効果的です。",,"アラントイン
クロルフェニラミンマレイン酸塩
クロルヘキシジン塩酸塩
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
塩酸テトラヒドロゾリン
l−メントール",禁止物質なし,,,,
